Company name;Company Twitter;"Nb. of Employees";What do they do (Verbatim - 10 words max.)   ;Link to website;HQ City;HQ Country;CEO name;CEO's Twitter;Link to jobpage
Deeson;twitter.com/DeesonAgency;1-10;Digital agency specialising in Drupal, Symfony and Laravel;https://www.deeson.co.uk/about;Hackney, London;UK;Tim Deeson;https://twitter.com/timdeeson;https://www.deeson.co.uk/about
Delicious Brains;twitter.com/dliciousbrains;1-10;We make super awesome plugins for WordPress.;https://deliciousbrains.com/;Truro, Nova Scotia;Canada;Brad Touesnard;https://twitter.com/bradt;
Delphia;twitter.com/delphia_ai;11-50;Invest with your data, not your money;https://delphia.com;Toronto;Canada;Andrew Peek;twitter.com/drupeek;
Demio;twitter.com/meetdemio;1-10;Webinar platform that just works.;https://demio.com/compare-demio;Tampa, FL;USA;David Abrams;;https://demio.com/compare-demio
DesignLab;twitter.com/trydesignlab;11-50;Training the world's creative talent ;http://trydesignlab.com/about/;San Francisco, CA;USA;HARISH VENKATESAN;https://twitter.com/hv23;https://angel.co/designlab/jobs
Dgraph;twitter.com/dgraphlabs;1-10;Scalable, Distributed, Low Latency Graph Database;https://dgraph.io/;Sydney;Australia;Manish Jain;twitter.com/manishrjain;https://dgraph.io/careers.html
Diacode;twitter.com/diacode;1-10;Ruby on Rails and Elixir Phoenix development;https://diacode.com/;;;Javier Cuevas;twitter.com/javier_dev;
Digital Ocean;twitter.com/digitalocean;51-200;Simple Cloud Hosting, Built for Developers.;http://www.digitalocean.com;New York, NY;USA;Ben Uretsky;twitter.com/benuretsky;https://www.digitalocean.com/company/careers/
digitalis.io;twitter.com/digitalis_io;1-10;Supporting Data driven entreprises;https://digitalis.io/;London;UK;Hayato Shimizu;;
Dimanex;twitter.com/DiManEx_BV;1-10;Supply any part anywhere;https://www.dimanex.com/;Amsterdam;Netherlands;Tibor van Melsem Kocsis;;https://www.dimanex.com/
Dito;twitter.com/DitoWeb;11-50;Dito is one of the original 30 hand-picked Google Apps Authorized Resellers.;http://www.ditoweb.com;Manassas, VA;USA;Dan McNelis;twitter.com/Dan_VT;http://www.ditoweb.com/company/employment/
Divio;twitter.com/divio;11-50;We serve django CMS;https://www.divio.com/en/company/about/;Zurich;Switzerland;Christian Bertschy;https://twitter.com/cbertschy;https://www.divio.com/en/company/about/
Divshot;twitter.com/divshot;1-10;Divshot is an interface builder for web applications;http://divshot.com;Santa Monica, CA;USA;Michael Bleigh;twitter.com/mbleigh;
DNSimple;twitter.com/dnsimple;11-50;Domain name services for developers;https://dnsimple.com;Orlando, FL;USA;Anthony Eden;twitter.com/aeden;
Docker;twitter.com/docker;201-500;An open platform for distributed applications for developers and sysadmins;http://www.docker.com;San Francisco, CA;USA;Ben Golub;twitter.com/golubbe;https://www.docker.com/careers
doctorSIM;twitter.com/doctorsim;11-50;Phone Unlock. Phone Checks. Operator Switch.;https://www.doctorsim.com/;Madrid;Spain;Hugo Meana;twitter.com/globile;https://www.doctorsim.com/gb-en/jobs.html
DoInbound;twitter.com/doinbound;1-10;Agency Project/Process Management Software;https://www.doinbound.com/;Pittsburgh;USA;Andrew Dymski;twitter.com/andrewjdymski;https://www.doinbound.com/careers
Doist;twitter.com/doist;51-200;At Doist, we specialize in productivity software;doist.com;Santiago;Chile;Amir Salihefendic;twitter.com/amix3k;https://doist.com/jobs/
DojoMadness;twitter.com/DOJOMADNESS;11-50;Master your play;https://dojomadness.com/;Berlin;Germany;Christian Gruber;https://angel.co/christian-gruber;https://angel.co/dojo-madness/jobs
Domino Data Lab;twitter.com/DominoDataLab;11-50;Tools for data science teams.;https://www.dominodatalab.com/;San Francisco, CA;USA;Nick Elprin;;https://www.dominodatalab.com/careers
doopoll;twitter.com/doopoll;1-10;Create powerful, yet simple polls;https://doopoll.co/;Cardiff;UK;Marc Thomas;https://twitter.com/iammarcthomas?lang=en;https://doopoll.co/jobs/
Dotsub;twitter.com/dotsub;1-10;The leading source for video translation and captions;https://dotsub.com/jobs;New York, NY;USA;Michael Smolens;https://twitter.com/mlsmolens;
Doximity;twitter.com/doximity;51-200;Largest online medical network of physicians.;https://www.doximity.com;San Francisco, CA;USA;Jeff Tangney;twitter.com/jefftangney;https://www.doximity.com/about/jobs
DramaFever;twitter.com/DramaFever;51-200;DramaFever is an online video site for the distribution of international televised content;https://www.dramafever.com/;New York, NY;USA;Seung Bak;;https://www.dramafever.com/company/careers.html
DRONAMICS;twitter.com/dronamics;1-10;We Build CARGO DRONES;http://www.dronamics.com/;Sofia;Bulgaria;Svilen Rangelov;;
DroneDeploy;twitter.com/DroneDeploy;11-50;DroneDeploy is apowerful, cloud-based drone mapping and analytics platform;https://www.dronedeploy.com/;San Francisco, CA;USA;Mike Winn;twitter.com/mikewinn;https://angel.co/dronedeploy/jobs
Duck Duck Go;twitter.com/duckduckgo;11-50;The search engine that doesn't track you.;https://duckduckgo.com/;Paoli, PA;USA;Gabriel Weinberg;twitter.com/yegg;https://duck.co/help/company/hiring
Eaternity;twitter.com/eaternity;1-10;We calculate CO2 for meals and restaurants.;http://www.eaternity.org/;Zurich;Switzerland;Manuel Klarmann;twitter.com/mklarmann;
Ebury;twitter.com/EburyUK;51-200;Financial solutions to grow your business;http://www.ebury.com/;London;UK;Salvador Garcia;;
Edify;twitter.com/3d1fy;11-50;Edify creates creative, performance-based, custom e-learning solutions ;http://www.edify.cr/;Alajuela;Costa Rica;;;http://www.edify.cr/joinus
Edison Nation;twitter.com/EdisonNation;51-200;We turn our users' product ideas into real-world products on store shelves.;https://twitter.com/EdisonNation;Charlotte, NC;USA;Louis Foreman;https://twitter.com/louisforeman;https://stackoverflow.com/jobs/companies/edison-nation
Eet.nu;twitter.com/eetnu;11-50;Restaurant guide with tools for restaurants.;https://www.eet.nu/;Sittard;Netherlands;;;
Eezy;twitter.com/eezy;11-50;Content for Creative Minds;http://www.eezy.com/#team-block;Bowling Green, KY;USA;Shawn Rubel;https://twitter.com/shawnrubel;http://www.eezy.com/
ElasticSearch;twitter.com/elasticsearch;201-500;Search & Analyze Data in Real Time;https://www.elastic.co/;Mountain View, CA ;USA;Steven Schuurman;twitter.com/stevenschuurman;https://www.elastic.co/about/careers
ElevenYellow;twitter.com/elevenyellow;1-10;We invest technology and time in different projects;http://www.elevenyellow.com;Indonesia;Indonesia;José Sáez López;twitter.com/jsaez;x
EngageTech;twitter.com/EngageTP;11-50;Makes it easy for businesses to find, hire and pay temporary workers ;https://engagetech.com;London;UK;Dave O'Flynn;twitter.com/daveoflynn;https://engagetech.workable.com/
Enjin;twitter.com/enjin;1-10;Smart cryptocurrency for gaming;https://enjincoin.io/;Singapore;Singapore;Maxim Blagov;;https://enjincoin.io/
Envato;twitter.com/envato;201-500;We help marketers build landing page;https://envato.com/;Melbourne;Australia;Collis Ta'eed;twitter.com/cyantaeed;http://careers.envato.com/
Erply;twitter.com/erply;51-200;Erply is next generation POSand retail software system;http://www.erply.com;New York, NY;USA;Kris Hiiemaa;twitter.com/kristjanh;https://erply.com/careers/
Estately;twitter.com/estately;1-10;Estately is a real estate search site where users can search for information;http://www.estately.com/;Seattle, WA;USA;Galen Ward;twitter.com/galenward;http://www.estately.com/about/jobs
Etsy;twitter.com/Etsy;501-1000;the world's most vibrant handmade marketplace;https://www.etsy.com/;Brooklyn, NY;USA;Chad Dickerson;twitter.com/chaddickerson;https://www.etsy.com/careers/?ref=ftr
Evergiving;twitter.com/evergivingapp;11-50;Software for charities that acquire and manage regular donors;https://www.evergiving.com/;Sydney;Australia;James Goodridge;;
EveryoneSocial;twitter.com/EveryoneSocial;11-50;Social Selling & Employee Advocacy;https://everyonesocial.com/resources/;Salt Lake City, UT;USA;Cameron Brain;https://twitter.com/cameronbrain;https://everyonesocial.com/
ExecVision;twitter.com/ExecVision_io;11-50;AI assisted coaching - enhancing human coaches with AI analysis;https://www.execvision.io/;Rosslyn, VA;USA;David Stillman;;
Explainify;twitter.com/explainify.com;1-10;We get inside your buyer’s mind to explain what you do and why people should care.;http://explainify.com/;Fayetville, AR;USA;Eric Hinson;;
Exposure Ninja;twitter.com/ExposureNinja;51-200;Digital Marketing Agency for SEO, PPC, and Digital PR;https://www.exposureninja.com/;Nottingham;USA;Tim Cameron-Kitchen;twitter.com/timninjakitchen;https://www.exposureninja.com/working-with-exposure-ninja/
Eyeo;twitter.com/eyeo;11-50;We develop open source software that millions of people use every day ;https://eyeo.com;Koln;Germany;Till Faida;;https://eyeo.com/en/jobs/
Fanatical Labs;N/A;1-10;We help companies get stuff done faster by connecting their internal systems.;https://fanaticallabs.com/;Minneapolis, MN;USA;Chad Hutchins;;
Farmstead;twitter.com/farmsteadapp;1-10;Make high quality food accessible to everyone;http://www.farmsteadapp.com/;San Matteo, CA;USA;Pradeep Elankumaran;;
